Grupo,Impacto,Nivel de Impacto (1-5),Comentarios
Estudiantes,Pérdida de compañeros,4,Los estudiantes pierden a sus compañeros, afectando el trabajo en grupo.
Estudiantes,Motivación disminuida,3,La deserción crea un ambiente menos motivador para los que permanecen.
Estudiantes,Mayor carga académica,2,Con menos estudiantes, las cargas de proyectos grupales aumentan.
Estudiantes,Acceso a recursos,3,La reducción en el número de estudiantes puede disminuir el acceso a ciertos recursos educativos.
Profesores,Planificación de clases,4,La deserción afecta la planificación y dinámica de las clases.
Profesores,Evaluación de desempeño,3,La evaluación del rendimiento del curso puede verse afectada por la alta deserción.
Profesores,Reducción en el tamaño de clase,2,Menos estudiantes por clase pueden afectar la interacción y participación.
Profesores,Reputación del programa,3,La reputación académica puede verse comprometida por altas tasas de deserción.
Estudiantes,Oportunidades de networking,2,Menos estudiantes reducen las oportunidades de crear redes profesionales.
Profesores,Carga administrativa,3,La administración de la deserción agrega carga administrativa a los profesores.
Estudiantes,Estrés emocional,4,La deserción puede causar estrés emocional entre los estudiantes restantes.
Estudiantes,Perspectivas académicas,3,La percepción de la calidad académica puede verse afectada.
Profesores,Adaptación del currículo,4,Necesidad de adaptar el currículo y métodos de enseñanza debido a la fluctuación de la matrícula.
Profesores,Feedback y retroalimentación,2,Menos estudiantes pueden significar menos feedback valioso para mejorar los cursos.
Estudiantes,Acceso a actividades extracurriculares,2,Menos estudiantes pueden reducir la viabilidad de actividades extracurriculares.
Profesores,Diversidad en el aula,3,La deserción puede afectar la diversidad y la riqueza de experiencias en el aula.
